building,amenity,office,shop,tourism,name,height_m,height_source,area_m2,wkt
yes,,,,,江湾游泳池,10.5,default,4248.9,"POLYGON ((358581.2184995719 3464777.444174041, 358581.40622799395 3464760.301472187, 358584.76027215907 3464759.8460452547, 358583.20742790174 3464706.794538011, 358591.4889808758 3464698.3234645175, 358624.65663190326 3464697.8764202893, 358632.7221704825 3464704.4530558484, 358632.2035352273 3464759.2065776912, 358635.5686351306 3464759.5714400606, 358634.55634493637 3464778.3993526916, 358624.49268925586 3464778.9451881573, 358624.58277211967 3464785.6293047704, 358617.0206033593 3464785.321013073, 358617.08813186653 3464790.3313294593, 358598.60577572125 3464790.5804491253, 358598.9665115223 3464785.5643595713, 358592.6661377099 3464785.6492880187, 358592.55900009046 3464777.70150702, 358581.2184995719 3464777.444174041))"
yes,,,,,江湾体育中心综合体育馆,10.5,default,3082.5,"POLYGON ((358578.9048095384 3464887.5449880287, 358578.8483193735 3464883.3549437807, 358570.8482820891 3464883.041505297, 358570.75786296005 3464876.3352174787, 358567.3888097298 3464876.3806420458, 358567.94230154005 3464854.5987272584, 358570.46433814726 3464854.564723215, 358570.35703162965 3464846.605856322, 358578.3569472034 3464846.9082106557, 358578.30045763566 3464842.7181666293, 358639.7525602022 3464841.8898587837, 358639.10039373697 3464886.733603669, 358578.9048095384 3464887.5449880287))"
yes,,,,,,10.5,default,3187.9,"POLYGON ((358611.1774980689 3465282.564632064, 358614.5595081149 3465221.3532086085, 358608.6629398159 3465221.011399097, 358609.24638597073 3465202.1559879696, 358656.81703895 3465201.9361122167, 358656.22292421374 3465251.790323926, 358650.320848095 3465251.0383549123, 358624.21925613284 3465281.967528554, 358636.8593108986 3465282.6397498287, 358636.52697631135 3465289.761949275, 358607.05184648535 3465289.316672993, 358606.5485293752 3465283.0483334875, 358611.1774980689 3465282.564632064))"
yes,,,,,,10.5,default,687.4,"POLYGON ((359859.7320071639 3465601.258622012, 359859.2582926005 3465565.80958305, 359866.40594535106 3465561.501112069, 359871.4916096183 3465561.0118603697, 359876.4306394259 3465560.94586619, 359876.27150831337 3465601.0376124657, 359869.06759447994 3465601.133871759, 359869.0347520065 3465606.5113756116, 359863.4853611884 3465606.4857499744, 359863.4529191569 3465601.2088989466, 359859.7320071639 3465601.258622012))"
yes,,,,,eBao Tech,10.5,default,2517.5,"POLYGON ((358111.3181201045 3464717.0469518295, 358120.7852538241 3464699.1356639797, 358187.1049832352 3464732.286495995, 358158.76370605675 3464789.0682615363, 358139.7416627762 3464779.6799624683, 358159.0678606369 3464739.0515573523, 358152.3121168711 3464735.0297002057, 358148.4624376891 3464741.0686324704, 358130.92431775545 3464732.3144010375, 358133.3056395744 3464727.5037817624, 358111.3181201045 3464717.0469518295))"
yes,,,,,"创智天地一,二号楼",10.5,default,8340.7,"POLYGON ((358148.22101686266 3464613.3962241476, 358107.61165923066 3464593.623292271, 358117.49398335314 3464569.0986572406, 358140.93079200835 3464527.6164042996, 358189.1047056373 3464551.3671594774, 358245.2895965524 3464579.0565579543, 358225.3939547929 3464618.450737213, 358240.31288822996 3464626.3868396236, 358228.1209335207 3464651.1864719247, 358160.04096530966 3464618.824154647, 358174.4560559931 3464590.1916092355, 358181.67208356014 3464595.160726837, 358188.6616937452 3464583.3807492596, 358174.2165032354 3464575.992651352, 358163.4713817724 3464570.5058241733, 358158.00044921855 3464581.2563863774, 358164.16133856843 3464584.22196031, 358148.22101686266 3464613.3962241476))"
yes,,,,,,10.5,default,2070.1,"POLYGON ((358037.9718119734 3464730.234767398, 358057.38019354123 3464692.8867472075, 358087.7016823583 3464707.210889493, 358097.15237211494 3464688.7898082077, 358109.4930974025 3464694.7206281964, 358085.33574521437 3464744.1176308244, 358058.3932116881 3464730.4684219165, 358053.8839900182 3464738.412160723, 358037.9718119734 3464730.234767398))"
yes,,,,,,10.5,default,235.2,"POLYGON ((358364.6337327823 3464228.8315518345, 358367.7993678052 3464219.342874889, 358389.98351754167 3464226.68223244, 358386.7814404442 3464236.2933484353, 358364.6337327823 3464228.8315518345))"
yes,,,,,,10.5,default,541.7,"POLYGON ((358374.068682345 3464303.673056086, 358396.89691572916 3464311.491544387, 358404.50398157735 3464290.412675455, 358380.9177396005 3464282.859396549, 358374.068682345 3464303.673056086))"
yes,,,,,,10.5,default,242.4,"POLYGON ((358377.67829576705 3464206.4818924293, 358380.8438348203 3464195.5741131916, 358401.3615620441 3464201.4614468543, 358398.19600415375 3464212.369219279, 358377.67829576705 3464206.4818924293))"
yes,,,,,特力时尚汇,10.5,default,6495.2,"POLYGON ((357990.69249421393 3464281.6813862156, 358023.3770907427 3464206.037235217, 358099.91940539825 3464239.5482447846, 358067.1382680213 3464308.0868024994, 357990.69249421393 3464281.6813862156))"
yes,,,,,,10.5,default,450.9,"POLYGON ((357791.2424654272 3465195.9639784964, 357795.4275966347 3465185.2084398703, 357831.8833026015 3465199.2158099776, 357827.70780835685 3465209.9822889017, 357791.2424654272 3465195.9639784964))"
yes,,,,,,10.5,default,39.8,"POLYGON ((357779.8868536488 3465217.027721914, 357782.4181546286 3465210.662815427, 357787.83473569073 3465212.8067379203, 357785.2937649769 3465219.1606872613, 357779.8868536488 3465217.027721914))"
yes,,,,,,10.5,default,1440.6,"POLYGON ((357764.9672289387 3465253.2289974187, 357770.3691182975 3465255.694627615, 357772.3936104219 3465260.3901664456, 357767.24062558904 3465269.9614649327, 357769.56167561037 3465271.9588801577, 357765.8462737201 3465280.1470039017, 357849.7851339915 3465281.1931196097, 357870.0517307468 3465289.045106126, 357869.9369103906 3465293.21531096, 357767.0057214855 3465290.5418205825, 357762.9093556448 3465289.588471258, 357758.79209270165 3465287.0943364403, 357755.164829073 3465282.830750318, 357753.81797725346 3465278.2701528524, 357754.29053968977 3465275.2148632947, 357764.9672289387 3465253.2289974187))"
yes,,,,,,10.5,default,1802.8,"POLYGON ((358097.82594149734 3464801.2120479667, 358119.715354767 3464757.9767461494, 358133.8494981462 3464764.9033209914, 358123.1552292022 3464786.3900636337, 358154.52819466684 3464802.4740510853, 358154.885530976 3464828.900172326, 358135.21963756124 3464828.911118956, 358135.57211106527 3464816.9658573633, 358114.24251057964 3464806.5777395167, 358112.74802812666 3464809.391830294, 358097.82594149734 3464801.2120479667))"
yes,,,,,,10.5,default,2317.5,"POLYGON ((358002.64020711044 3464800.7705556634, 358014.14787744056 3464777.5098633165, 358019.21698731766 3464779.991220254, 358021.25526197656 3464775.861510961, 358018.10264570976 3464774.3187662205, 358031.6022811454 3464747.0177095286, 358044.6535560388 3464753.404482228, 358043.12461445376 3464756.4851330994, 358049.238153856 3464759.4734512335, 358051.03559645294 3464755.8348273467, 358065.78294410766 3464763.052359228, 358054.1825222257 3464786.5027188747, 358049.4966625157 3464784.204635315, 358047.63440555765 3464787.9771787385, 358052.617247071 3464790.4153713286, 358038.75635252876 3464818.453021587, 358002.64020711044 3464800.7705556634))"
yes,,,,,,10.5,default,3402.6,"POLYGON ((358029.7477525821 3464883.5880315863, 358060.08610445523 3464823.219971868, 358098.391551166 3464843.0238527264, 358098.55382839055 3464892.3136282577, 358048.46892480453 3464893.2573702848, 358029.7477525821 3464883.5880315863))"
yes,,,,,,10.5,default,2401.4,"POLYGON ((357967.188865096 3464869.4566162485, 357980.0750464424 3464843.9709344395, 357983.80317957734 3464845.838480055, 357986.1763901072 3464841.138799942, 357981.5953763605 3464838.8504143637, 357993.276664158 3464815.764731963, 358008.16988248855 3464823.213029771, 358006.50120629976 3464826.517315145, 358010.7755695291 3464828.6546468833, 358012.48141506163 3464825.2833382166, 358030.24985538167 3464834.1783816325, 358015.5093279382 3464863.3255703286, 358009.8836110205 3464860.50805978, 358008.15918862936 3464863.912881289, 358014.474938704 3464867.075828917, 358003.3593579893 3464889.056237062, 357984.8722464571 3464879.8051066725, 357986.7539474608 3464876.065546878, 357981.8279310369 3464873.604443521, 357980.54863564903 3464876.138471776, 357967.188865096 3464869.4566162485))"
yes,,,,,,10.5,default,2132.2,"POLYGON ((358114.5989486017 3464899.0812772335, 358113.886505874 3464841.4838374453, 358136.45195902506 3464841.200812756, 358136.8885079241 3464876.295752086, 358173.86309360596 3464875.8401174294, 358174.13878409547 3464898.3426129348, 358114.5989486017 3464899.0812772335))"
apartments,,,,,创智66商务楼,10.5,default,552.6,"POLYGON ((357706.2873997624 3464521.48454601, 357719.80081492395 3464489.6151146567, 357734.5157616285 3464495.8015732565, 357721.00231191854 3464527.67098459, 357706.2873997624 3464521.48454601))"
yes,,,,,,10.5,default,1618.6,"POLYGON ((358506.0480480696 3464888.27250011, 358505.6436791785 3464839.2410759693, 358512.2805612343 3464839.4065509755, 358512.2566391907 3464837.6329871267, 358536.766703334 3464837.557417296, 358536.78375125653 3464857.879272661, 358540.86659458524 3464857.824212733, 358540.6340986285 3464869.5239111073, 358537.31262838864 3464869.5687035383, 358537.79442124907 3464888.354315231, 358506.0480480696 3464888.27250011))"
yes,,,,,,10.5,default,4126.4,"POLYGON ((358156.55440874933 3464480.6410136446, 358191.037110658 3464414.0420839596, 358195.6995884344 3464411.783877179, 358200.5983585183 3464409.4005240984, 358220.3449439998 3464416.0074679004, 358221.1474767816 3464427.493633423, 358232.7087920278 3464435.6081532985, 358200.8862749004 3464507.4704739084, 358192.9045238706 3464504.307753341, 358175.07649597246 3464493.8499842854, 358156.55440874933 3464480.6410136446))"
